epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,23344.5,0.66084,0.91826,0.54256,0.93741,0.65314,0.67647,0.69814,0.53103,0.64856,0.6793,0.70131,0.50199,0.81068,1.19297,0.64144,0.9949,0.000616049,0.000616049,0.000616049
92,23600.2,0.65815,0.89528,0.56203,0.93248,0.69448,0.6944,0.71593,0.54005,0.68984,0.6976,0.72253,0.51527,0.79085,1.15418,0.6323,0.98773,0.00061055,0.00061055,0.00061055
93,23856.1,0.63575,0.8945,0.50872,0.92144,0.6774,0.74556,0.72747,0.55207,0.69064,0.75062,0.73593,0.52423,0.80081,1.18121,0.64711,0.99487,0.000605051,0.000605051,0.000605051
94,24112.8,0.64136,0.87917,0.50915,0.92516,0.64351,0.72295,0.70444,0.53257,0.64846,0.72216,0.70914,0.5028,0.8168,1.17953,0.66886,0.99938,0.000599551,0.000599551,0.000599551
95,24369.1,0.64344,0.88528,0.51581,0.93572,0.65427,0.72754,0.72075,0.54588,0.6547,0.72848,0.72316,0.51443,0.79101,1.15927,0.63855,0.97862,0.000594052,0.000594052,0.000594052
96,24625.1,0.65208,0.89884,0.5248,0.9323,0.748,0.68376,0.73893,0.56054,0.74578,0.68165,0.73536,0.52881,0.79909,1.14732,0.64188,0.98394,0.000588552,0.000588552,0.000588552
97,24881.6,0.64314,0.90243,0.50987,0.92503,0.70492,0.70613,0.71941,0.5476,0.71166,0.71255,0.72473,0.51927,0.79957,1.17471,0.65402,0.98686,0.000583053,0.000583053,0.000583053
98,25137.3,0.62978,0.89606,0.5023,0.91717,0.69038,0.68167,0.70593,0.5431,0.68872,0.68486,0.70938,0.51427,0.78944,1.14755,0.64392,0.98819,0.000577553,0.000577553,0.000577553
99,25393.4,0.638,0.89388,0.50969,0.91791,0.75058,0.70538,0.72861,0.56287,0.75163,0.71035,0.73085,0.53447,0.78038,1.16368,0.62933,0.97682,0.000572054,0.000572054,0.000572054
100,25650.2,0.6235,0.86925,0.4763,0.91227,0.68753,0.7104,0.72312,0.54433,0.70367,0.72621,0.73468,0.52117,0.7859,1.14317,0.63472,0.97452,0.000566554,0.000566554,0.000566554
101,25906,0.6169,0.85705,0.49387,0.91156,0.67775,0.72236,0.72365,0.55117,0.686,0.73139,0.73436,0.52432,0.78984,1.15674,0.60967,0.97987,0.000561055,0.000561055,0.000561055
102,26162,0.62399,0.87916,0.49437,0.91937,0.71326,0.68604,0.69851,0.52815,0.71554,0.68837,0.69859,0.49746,0.80137,1.19859,0.66305,0.98691,0.000555556,0.000555556,0.000555556
